iter	Logloss
0	0.6231346195
1	0.5554066604
2	0.4960966511
3	0.4440864179
4	0.4006029954
5	0.3594631894
6	0.3231267951
7	0.2947562371
8	0.2660177858
9	0.2422176447
10	0.2207455991
11	0.2032792096
12	0.1868244596
13	0.1724740517
14	0.1608271162
15	0.1496280119
16	0.1398374291
17	0.1313664721
18	0.1239034593
19	0.1167306207
20	0.1112799058
21	0.1055924033
22	0.1006457186
23	0.09624048346
24	0.09227361114
25	0.08843276078
26	0.08541238759
27	0.0827599649
28	0.08034937605
29	0.07783159344
30	0.07552963679
31	0.0734706569
32	0.07162313593
33	0.06993455674
34	0.06838463822
35	0.06709803535
36	0.06580680989
37	0.06463798466
38	0.0633431213
39	0.06234285807
40	0.06153855198
41	0.06059445041
42	0.05967362308
43	0.058880575
44	0.0580526062
45	0.05745863235
46	0.05687968403
47	0.05605309057
48	0.05527879066
49	0.05464255129
50	0.05397830026
51	0.05316760895
52	0.05270926945
53	0.05259033776
54	0.05248893165
55	0.05186902758
56	0.05137390681
57	0.05087925925
58	0.05033497546
59	0.04987847252
60	0.04976806415
61	0.04926930091
62	0.04918043944
63	0.04909698459
64	0.04880097678
65	0.04842548859
66	0.04833963263
67	0.04787309445
68	0.04748363274
69	0.0474077268
70	0.04701511571
71	0.04662022536
72	0.04627401986
73	0.04619230663
74	0.0458715999
75	0.04558027657
76	0.0454858675
77	0.04541103613
78	0.04532190643
79	0.04521683556
80	0.04488948101
81	0.04473724596
82	0.04438760339
83	0.04429712524
84	0.04392564777
85	0.0435744957
86	0.04336347573
87	0.04321738853
88	0.04315137244
89	0.0430676936
90	0.04298150626
91	0.04290655648
92	0.04284719902
93	0.04255793729
94	0.04250163577
95	0.04238397619
96	0.04231466077
97	0.04219648391
98	0.041992655
99	0.04192474939
100	0.04187661333
101	0.04178336458
102	0.0416310052
103	0.04140171429
104	0.04123923319
105	0.04115587812
106	0.04109684254
107	0.04092473173
108	0.04086241049
109	0.04079893134
110	0.04056905821
111	0.04040487434
112	0.04029631123
113	0.04015359383
114	0.03990767541
115	0.03983834588
116	0.03962025961
117	0.03954216583
118	0.03947721318
119	0.03943646168
120	0.03928379095
121	0.0392167458
122	0.03914469266
123	0.03907905578
124	0.03899725137
125	0.03874483997
126	0.03869299696
127	0.03863513128
128	0.0383974618
129	0.03833192688
130	0.0382717356
131	0.038126592
132	0.03807239049
133	0.03803300421
134	0.03797856281
135	0.03775281938
136	0.03761791368
137	0.03744855764
138	0.0373783782
139	0.03731574893
140	0.03725773338
141	0.03705875789
142	0.03688768924
143	0.03668720559
144	0.03663019207
145	0.0365829854
146	0.03645948222
147	0.03641043179
148	0.03633965166
149	0.03621669457
150	0.03606593126
151	0.03600989618
152	0.03590524582
153	0.03585910411
154	0.03570048474
155	0.03563682118
156	0.03554567499
157	0.03551028739
